âge,sexe,budget,marié,région_origine,type_destination
66,Homme,7193,Oui,Pays-Bas,Ville
46,Homme,2004,Non,Mexique,Nature
54,Homme,10991,Oui,Danemark,Ville
35,Femme,12469,Oui,Russie,Ville
26,Homme,12602,Non,Egypte,Ville
58,Homme,11103,Oui,Colombie,Ville
43,Femme,13733,Oui,Chine,Ville
37,Homme,7623,Oui,Pays-Bas,Ville
49,Femme,3184,Non,Indonésie,Nature
31,Femme,2660,Non,Maroc,Nature
37,Femme,3073,Non,Algérie,Nature
60,Homme,3274,Non,Algérie,Nature
75,Femme,12136,Oui,Russie,Ville
18,Femme,1397,Non,Danemark,Nature
38,Femme,2231,Non,Kenya,Nature
28,Homme,3519,Non,Suède,Nature
64,Homme,6002,Oui,Tunisie,Ville
40,Femme,1126,Oui,Norvège,Nature
64,Femme,13387,Oui,Allemagne,Ville
23,Homme,11180,Oui,USA,Ville
56,Homme,3412,Oui,Italie,Nature
36,Homme,6019,Non,Liban,Ville
22,Homme,11990,Non,Inde,Ville
46,Homme,2701,Non,Thaïlande,Nature
38,Femme,2532,Non,Canada,Nature
39,Femme,1775,Oui,Italie,Nature
55,Homme,3879,Oui,Brésil,Nature
47,Femme,1570,Non,Pakistan,Nature
22,Femme,2765,Non,Russie,Nature
33,Femme,11214,Oui,Grèce,Ville
47,Homme,3144,Non,Chine,Nature
43,Homme,7931,Oui,Nigeria,Ville
40,Femme,1552,Oui,Pakistan,Nature
62,Femme,10170,Oui,Tunisie,Ville
26,Homme,8082,Non,Pérou,Ville
53,Femme,1436,Oui,USA,Nature
72,Homme,13206,Non,Sénégal,Ville
32,Femme,6338,Oui,Royaume-Uni,Ville
26,Homme,10768,Non,Colombie,Ville
48,Femme,3444,Oui,Mexique,Nature
64,Femme,12060,Oui,Norvège,Ville
66,Homme,12908,Oui,Grèce,Ville
56,Homme,10378,Oui,Australie,Ville
48,Homme,1727,Oui,Colombie,Nature
59,Homme,7527,Non,Suisse,Ville
60,Homme,13008,Non,Brésil,Ville
69,Homme,5659,Oui,Inde,Ville
21,Femme,2881,Non,Nigeria,Nature
28,Homme,2890,Non,Norvège,Nature
34,Homme,9428,Oui,Italie,Ville
48,Femme,3907,Non,Maroc,Nature
60,Homme,1301,Non,Danemark,Nature
46,Femme,8442,Oui,Pologne,Ville
49,Homme,1473,Oui,Finlande,Nature
25,Homme,2857,Non,Argentine,Nature
68,Femme,7631,Oui,Danemark,Ville
24,Femme,2478,Non,Afrique du Sud,Nature
36,Homme,7043,Non,Pérou,Ville
41,Femme,11468,Non,Thaïlande,Ville
31,Homme,1730,Non,Norvège,Nature
25,Homme,3520,Non,France,Nature
27,Homme,2826,Non,Allemagne,Nature
54,Homme,10729,Oui,Pérou,Ville
58,Homme,2255,Non,Malaysia,Nature
58,Homme,3772,Oui,Argentine,Nature
36,Homme,9077,Oui,Suisse,Ville
19,Femme,3974,Non,Côte d Ivoire,Nature
46,Femme,10322,Oui,Australie,Ville
25,Femme,3226,Non,Colombie,Nature
65,Femme,8783,Oui,Thaïlande,Ville
53,Homme,8888,Oui,Indonésie,Ville
41,Homme,9788,Oui,Côte d Ivoire,Ville
40,Homme,1983,Non,Liban,Nature
44,Homme,8314,Oui,Côte d Ivoire,Ville
65,Homme,6990,Oui,Iran,Ville
34,Homme,4093,Non,Maroc,Nature
37,Femme,10026,Non,Pologne,Ville
35,Femme,5861,Oui,Mexique,Ville
68,Femme,9790,Oui,Indonésie,Ville
61,Homme,6289,Oui,Inde,Ville
52,Femme,1681,Non,Malaysia,Nature
32,Femme,9917,Non,Turquie,Ville
26,Femme,2568,Non,Turquie,Nature
32,Homme,1773,Oui,France,Nature
61,Homme,10050,Oui,Portugal,Ville
41,Homme,9611,Oui,Turquie,Ville
60,Femme,3515,Non,Algérie,Nature
33,Femme,2908,Oui,Mexique,Nature
27,Femme,10318,Non,Afrique du Sud,Ville
57,Femme,3638,Non,Arabie Saoudite,Nature
41,Femme,3778,Non,Afrique du Sud,Nature
27,Homme,2894,Non,Algérie,Nature
30,Homme,5800,Non,Danemark,Ville
51,Homme,5987,Oui,Colombie,Ville
66,Homme,7218,Oui,Chine,Ville
31,Femme,10466,Oui,Royaume-Uni,Ville
64,Homme,10122,Oui,USA,Ville
57,Homme,4867,Oui,Turquie,Ville
28,Femme,1904,Non,Pakistan,Nature
33,Homme,7328,Oui,Japon,Ville
26,Femme,13833,Oui,Italie,Ville
26,Homme,10751,Oui,Afrique du Sud,Ville
34,Homme,10787,Oui,Royaume-Uni,Ville
34,Homme,9721,Oui,Malaysia,Ville
62,Femme,11189,Oui,Inde,Ville
58,Homme,10518,Non,Corée du Sud,Ville
27,Homme,3145,Non,Brésil,Nature
32,Femme,6766,Oui,Mexique,Ville
30,Homme,3262,Non,Afrique du Sud,Nature
29,Homme,4116,Non,Koweït,Nature
67,Femme,12521,Non,Nigeria,Ville
28,Homme,6959,Oui,USA,Ville
50,Homme,9635,Oui,Indonésie,Ville
33,Homme,2742,Oui,Corée du Sud,Nature
43,Homme,2732,Non,Norvège,Nature
41,Femme,4251,Non,Royaume-Uni,Nature
47,Homme,2650,Non,Thaïlande,Nature
55,Femme,1836,Non,Italie,Nature
24,Homme,1424,Non,Iran,Nature
29,Homme,10195,Oui,Qatar,Ville
49,Femme,1452,Oui,Tunisie,Nature
58,Homme,3087,Non,Chine,Nature
25,Homme,1897,Non,Suisse,Nature
22,Femme,1319,Non,Kenya,Nature
34,Femme,1360,Non,Australie,Nature
52,Femme,1412,Non,Egypte,Nature
47,Femme,3710,Non,Finlande,Nature
21,Homme,1381,Non,Argentine,Nature
58,Homme,9206,Oui,Turquie,Ville
20,Homme,1645,Non,Portugal,Nature
58,Femme,14081,Oui,Nigeria,Ville
37,Femme,10744,Oui,Qatar,Ville
66,Homme,14139,Oui,Suisse,Ville
45,Homme,3384,Non,Pays-Bas,Nature
71,Homme,7222,Oui,Portugal,Ville
45,Femme,2866,Non,Canada,Nature
54,Femme,1679,Oui,Japon,Nature
57,Homme,3466,Non,Australie,Nature
26,Homme,3757,Non,Emirats Arabes Unis,Nature
25,Homme,10783,Oui,Autriche,Ville
35,Femme,13773,Oui,Jordanie,Ville
37,Femme,1314,Oui,Kenya,Nature
43,Femme,2347,Oui,Inde,Nature
32,Femme,2504,Non,Afrique du Sud,Nature
33,Femme,12363,Oui,Côte d Ivoire,Ville
23,Femme,2205,Non,Koweït,Nature
51,Homme,5685,Oui,USA,Ville
40,Femme,2363,Non,Royaume-Uni,Nature
25,Femme,11367,Oui,Suède,Ville
35,Femme,3637,Non,Argentine,Nature
40,Homme,3630,Non,Italie,Nature
36,Femme,6590,Oui,Mexique,Ville
57,Homme,8266,Oui,Iran,Ville
48,Homme,4023,Non,Egypte,Nature
35,Femme,8217,Oui,Pakistan,Ville
19,Femme,3475,Non,Espagne,Nature
57,Femme,10357,Oui,Maroc,Ville
45,Homme,3424,Oui,Australie,Nature
65,Homme,13781,Oui,Iran,Ville
34,Femme,3411,Non,Australie,Nature
30,Femme,3191,Non,Jordanie,Nature
47,Homme,10565,Oui,Colombie,Ville
52,Femme,3132,Non,Suisse,Nature
66,Homme,7399,Oui,Chine,Ville
52,Homme,3162,Non,Emirats Arabes Unis,Nature
49,Femme,3543,Non,USA,Nature
27,Homme,1492,Non,Inde,Nature
59,Femme,1582,Non,Corée du Sud,Nature
45,Homme,7888,Oui,Pologne,Ville
46,Femme,6250,Oui,Finlande,Ville
21,Homme,2437,Non,Canada,Nature
47,Homme,1463,Non,Maroc,Nature
33,Homme,11988,Oui,Algérie,Ville
58,Femme,12191,Non,Russie,Ville
58,Femme,10633,Oui,Sénégal,Ville
73,Homme,4871,Oui,Inde,Ville
36,Homme,3955,Oui,Autriche,Nature
63,Femme,11485,Oui,Suède,Ville
50,Femme,2562,Non,Pays-Bas,Nature
23,Homme,7712,Non,Côte d Ivoire,Ville
42,Femme,3507,Oui,Pakistan,Nature
57,Homme,6123,Oui,Koweït,Ville
25,Homme,3854,Non,Turquie,Nature
20,Femme,978,Non,Danemark,Nature
75,Homme,9176,Oui,Suède,Ville
43,Femme,1441,Non,Canada,Nature
73,Homme,6539,Oui,Liban,Ville
60,Homme,3751,Non,Argentine,Nature
52,Homme,3525,Non,Turquie,Nature
25,Femme,3529,Non,France,Nature
51,Homme,11619,Oui,Argentine,Ville
55,Femme,5661,Non,Chine,Ville
59,Homme,2144,Oui,Malaysia,Nature
24,Femme,1539,Non,Turquie,Nature
40,Femme,6049,Oui,Canada,Ville
29,Homme,9638,Oui,Afrique du Sud,Ville
33,Femme,3859,Non,Australie,Nature
69,Femme,7389,Oui,Colombie,Ville
26,Femme,11450,Oui,Finlande,Ville
47,Femme,8011,Oui,Canada,Ville
27,Homme,2187,Non,Jordanie,Nature
66,Homme,13392,Oui,Portugal,Ville
58,Femme,2537,Non,Royaume-Uni,Nature
49,Homme,1947,Oui,Mexique,Nature
36,Femme,13942,Oui,Kenya,Ville
20,Homme,1502,Non,Egypte,Nature
68,Femme,11116,Oui,Liban,Ville
66,Femme,9860,Oui,Italie,Ville
60,Homme,1435,Oui,Allemagne,Nature
31,Femme,13086,Non,Finlande,Ville
66,Femme,6586,Non,Espagne,Ville
24,Homme,2266,Non,Inde,Nature
23,Femme,9469,Oui,Danemark,Ville
29,Femme,3986,Non,Pays-Bas,Nature
48,Homme,5217,Oui,Mexique,Ville
41,Femme,4103,Non,Indonésie,Nature
48,Homme,2966,Oui,Norvège,Nature
26,Homme,1805,Non,Royaume-Uni,Nature
27,Femme,14254,Non,USA,Ville
22,Femme,13219,Non,Egypte,Ville
59,Femme,10464,Oui,Argentine,Ville
75,Homme,9608,Oui,Emirats Arabes Unis,Ville
49,Homme,6224,Non,Thaïlande,Ville
29,Femme,3473,Non,Sénégal,Nature
67,Femme,8585,Oui,Japon,Ville
38,Homme,2875,Non,Maroc,Nature
36,Homme,3240,Non,Finlande,Nature
47,Homme,1933,Non,Indonésie,Nature
64,Homme,12391,Oui,Turquie,Ville
75,Femme,10992,Oui,Grèce,Ville
58,Homme,11507,Oui,Italie,Ville
53,Homme,5821,Non,Afrique du Sud,Ville
41,Homme,12901,Oui,Arabie Saoudite,Ville
37,Homme,14337,Oui,Malaysia,Ville
53,Homme,12893,Oui,Autriche,Ville
32,Homme,2828,Oui,Pologne,Nature
57,Homme,3458,Non,Pérou,Nature
50,Homme,1103,Non,Liban,Nature
47,Homme,13275,Oui,Nigeria,Ville
39,Femme,10152,Oui,Sénégal,Ville
26,Homme,3738,Non,Tunisie,Nature
53,Femme,6888,Oui,USA,Ville
31,Homme,10628,Non,Afrique du Sud,Ville
24,Femme,4740,Oui,Australie,Ville
36,Femme,12288,Oui,Inde,Ville
74,Femme,11170,Oui,Indonésie,Ville
24,Femme,2669,Non,Jordanie,Nature
67,Femme,6154,Oui,Koweït,Ville
35,Femme,1009,Non,Russie,Nature
52,Femme,3199,Oui,Koweït,Nature
59,Homme,13679,Oui,Afrique du Sud,Ville
35,Homme,3849,Non,Italie,Nature
72,Femme,8064,Non,Côte d Ivoire,Ville
39,Femme,1370,Non,Allemagne,Nature
48,Homme,5891,Oui,Afrique du Sud,Ville
37,Femme,10377,Non,Arabie Saoudite,Ville
18,Femme,3437,Non,Australie,Nature
65,Femme,6183,Non,Finlande,Ville
47,Homme,8288,Oui,Canada,Ville
46,Femme,5320,Non,Corée du Sud,Ville
33,Femme,2712,Non,France,Nature
63,Femme,14476,Oui,Turquie,Ville
27,Homme,3542,Non,Allemagne,Nature
26,Homme,14293,Non,Corée du Sud,Ville
52,Femme,2446,Non,Colombie,Nature
70,Femme,6342,Oui,Sénégal,Ville
31,Homme,13827,Non,Suède,Ville
51,Femme,2168,Oui,Autriche,Nature
24,Femme,8397,Oui,Australie,Ville
38,Femme,2938,Non,Egypte,Nature
74,Femme,7445,Oui,France,Ville
41,Femme,1338,Non,Portugal,Nature
31,Femme,12876,Oui,Pakistan,Ville
25,Homme,2562,Non,Norvège,Nature
31,Homme,13272,Oui,Turquie,Ville
33,Homme,1779,Non,Indonésie,Nature
43,Femme,13561,Oui,Pérou,Ville
36,Femme,9709,Oui,Russie,Ville
24,Homme,3883,Non,Jordanie,Nature
53,Homme,1153,Non,Egypte,Nature
67,Homme,12840,Oui,Arabie Saoudite,Ville
41,Femme,12877,Oui,Suède,Ville
31,Homme,6083,Oui,Arabie Saoudite,Ville
75,Femme,13173,Oui,Royaume-Uni,Ville
26,Homme,9116,Non,Algérie,Ville
52,Homme,12283,Oui,Portugal,Ville
25,Homme,1846,Non,Royaume-Uni,Nature
29,Femme,2956,Non,Corée du Sud,Nature
32,Homme,3893,Non,Brésil,Nature
49,Femme,1968,Non,Belgique,Nature
22,Femme,9271,Non,Indonésie,Ville
27,Homme,1737,Non,Canada,Nature
22,Femme,2641,Non,Mexique,Nature
26,Femme,8325,Non,Pologne,Ville
60,Homme,3528,Non,Arabie Saoudite,Nature
29,Homme,2283,Non,Turquie,Nature
47,Homme,3153,Non,Australie,Nature
44,Femme,2205,Non,Qatar,Nature
73,Homme,8818,Oui,Pakistan,Ville
72,Femme,5776,Oui,Brésil,Ville
65,Homme,6758,Oui,Jordanie,Ville
45,Homme,3966,Oui,Grèce,Nature
50,Homme,2994,Oui,Koweït,Nature
41,Homme,3387,Non,Brésil,Nature
21,Femme,1516,Non,Indonésie,Nature
46,Femme,2849,Non,Corée du Sud,Nature
37,Femme,9353,Oui,France,Ville
55,Homme,9370,Oui,Brésil,Ville
50,Femme,5812,Oui,Arabie Saoudite,Ville
22,Femme,1973,Non,Japon,Nature
38,Homme,3810,Non,Liban,Nature
43,Homme,3225,Non,Malaysia,Nature
45,Homme,5764,Oui,Australie,Ville
49,Femme,3110,Non,France,Nature
27,Homme,7899,Oui,Autriche,Ville
56,Homme,2785,Oui,Pakistan,Nature
52,Homme,2263,Non,Arabie Saoudite,Nature
44,Femme,1788,Oui,Norvège,Nature
69,Homme,7693,Non,Algérie,Ville
54,Homme,3658,Oui,Pakistan,Nature
47,Femme,8953,Oui,Pakistan,Ville
49,Femme,3362,Oui,Afrique du Sud,Nature
25,Femme,2566,Non,Côte d Ivoire,Nature
57,Femme,13544,Oui,Argentine,Ville
42,Homme,2478,Non,Qatar,Nature
32,Homme,6722,Oui,Chine,Ville
35,Femme,8697,Oui,Tunisie,Ville
26,Homme,1961,Non,Russie,Nature
54,Femme,10901,Non,Norvège,Ville
31,Femme,3168,Non,Danemark,Nature
50,Homme,2142,Non,Jordanie,Nature
44,Femme,2557,Non,Autriche,Nature
70,Femme,9607,Oui,Colombie,Ville
38,Femme,3374,Non,Mexique,Nature
29,Femme,3839,Non,Japon,Nature
33,Femme,2477,Non,Pays-Bas,Nature
20,Homme,1276,Non,Espagne,Nature
60,Femme,1678,Non,Russie,Nature
36,Homme,11484,Non,Suisse,Ville
75,Homme,9394,Oui,Colombie,Ville
53,Homme,2669,Oui,Malaysia,Nature
59,Femme,6464,Oui,Pologne,Ville
23,Femme,2537,Non,Afrique du Sud,Nature
31,Homme,8634,Oui,Nigeria,Ville
57,Femme,12808,Oui,Indonésie,Ville
40,Homme,10927,Oui,Autriche,Ville
71,Homme,11984,Oui,Kenya,Ville
50,Femme,2504,Oui,Jordanie,Nature
40,Homme,13061,Non,Liban,Ville
56,Femme,5830,Oui,Maroc,Ville
56,Homme,6734,Oui,Indonésie,Ville
68,Femme,7941,Non,Australie,Ville
37,Homme,7206,Oui,Russie,Ville
54,Femme,12726,Oui,Danemark,Ville
67,Homme,12680,Oui,Danemark,Ville
26,Homme,10785,Non,Inde,Ville
74,Homme,8928,Oui,Turquie,Ville
48,Homme,11437,Oui,Jordanie,Ville
64,Femme,11619,Oui,Argentine,Ville
24,Femme,7120,Oui,Italie,Ville
58,Femme,9299,Oui,France,Ville
28,Homme,14344,Non,Indonésie,Ville
30,Femme,1846,Non,Danemark,Nature
52,Homme,3155,Oui,Arabie Saoudite,Nature
61,Homme,7440,Oui,Koweït,Ville
23,Femme,13236,Non,Qatar,Ville
26,Femme,3350,Non,Inde,Nature
23,Femme,1592,Non,Pologne,Nature
32,Homme,1312,Non,Pérou,Nature
18,Femme,3884,Non,Japon,Nature
25,Femme,1756,Non,Iran,Nature
30,Homme,3174,Non,Algérie,Nature
22,Femme,3381,Non,Qatar,Nature
53,Homme,1480,Oui,Pologne,Nature
25,Homme,3528,Non,Autriche,Nature
40,Femme,4689,Oui,Thaïlande,Ville
23,Femme,2966,Non,Portugal,Nature
45,Femme,12652,Oui,Indonésie,Ville
53,Homme,1524,Oui,Suisse,Nature
67,Homme,8686,Oui,Kenya,Ville
26,Homme,3800,Non,Corée du Sud,Nature
31,Femme,10378,Non,Finlande,Ville
32,Femme,3499,Non,Argentine,Nature
35,Homme,1647,Non,Emirats Arabes Unis,Nature
48,Homme,6152,Oui,Arabie Saoudite,Ville
36,Homme,6801,Oui,Maroc,Ville
63,Femme,9964,Non,Portugal,Ville
29,Homme,8336,Oui,Royaume-Uni,Ville
28,Femme,1954,Non,Thaïlande,Nature
23,Femme,2938,Non,Colombie,Nature
35,Homme,1386,Non,Turquie,Nature
18,Homme,2823,Non,Afrique du Sud,Nature
58,Homme,1860,Oui,Algérie,Nature
44,Femme,2689,Non,Royaume-Uni,Nature
24,Homme,13832,Non,Iran,Ville
72,Femme,9252,Non,Afrique du Sud,Ville
49,Femme,2866,Non,Côte d Ivoire,Nature
51,Homme,4075,Non,Jordanie,Nature
24,Homme,3202,Non,Chine,Nature
41,Femme,3225,Non,Colombie,Nature
26,Femme,4037,Non,Malaysia,Nature
33,Homme,1104,Non,Royaume-Uni,Nature
37,Femme,1958,Oui,Liban,Nature
21,Femme,2922,Non,Royaume-Uni,Nature
69,Homme,10271,Oui,Argentine,Ville
59,Homme,3068,Non,Royaume-Uni,Nature
56,Femme,10009,Oui,USA,Ville
36,Femme,7545,Oui,Jordanie,Ville
38,Homme,2579,Non,Pologne,Nature
28,Femme,9668,Non,Inde,Ville
68,Homme,5376,Oui,Jordanie,Ville
52,Femme,1360,Oui,Australie,Nature
31,Homme,5602,Oui,Liban,Ville
22,Femme,2609,Non,Mexique,Nature
52,Homme,2759,Non,Colombie,Nature
43,Homme,1768,Non,Pologne,Nature
64,Femme,8986,Oui,Inde,Ville
53,Femme,3568,Non,Espagne,Nature
34,Homme,7180,Oui,Kenya,Ville
43,Femme,11473,Oui,Iran,Ville
28,Homme,1946,Non,Maroc,Nature
55,Homme,2723,Oui,Mexique,Nature
50,Homme,7906,Oui,Belgique,Ville
37,Femme,2029,Non,Kenya,Nature
59,Homme,1651,Non,Afrique du Sud,Nature
41,Homme,3522,Non,Nigeria,Nature
57,Homme,2472,Oui,Maroc,Nature
31,Homme,7543,Oui,Autriche,Ville
18,Femme,4083,Non,Turquie,Nature
56,Femme,8250,Oui,Inde,Ville
25,Femme,14309,Non,Brésil,Ville
45,Femme,6539,Oui,Thaïlande,Ville
62,Femme,6177,Oui,Maroc,Ville
71,Femme,12701,Oui,Jordanie,Ville
30,Femme,2967,Non,Pérou,Nature
40,Homme,9416,Oui,Nigeria,Ville
25,Homme,3248,Non,Brésil,Nature
22,Femme,2853,Non,Pakistan,Nature
38,Femme,13569,Oui,Arabie Saoudite,Ville
65,Femme,7280,Oui,Inde,Ville
51,Homme,12362,Oui,Allemagne,Ville
42,Femme,1660,Non,Canada,Nature
52,Homme,7072,Oui,Brésil,Ville
55,Femme,7646,Oui,Qatar,Ville
44,Femme,1737,Non,Belgique,Nature
29,Femme,6358,Oui,Malaysia,Ville
53,Femme,10182,Oui,Pakistan,Ville
28,Femme,1801,Non,Arabie Saoudite,Nature
22,Homme,10605,Non,Liban,Ville
42,Homme,3221,Non,Côte d Ivoire,Nature
63,Femme,7216,Oui,Pérou,Ville
48,Femme,9206,Oui,Arabie Saoudite,Ville
66,Homme,8936,Oui,Algérie,Ville
69,Femme,7031,Oui,Sénégal,Ville
24,Femme,1520,Non,Russie,Nature
30,Femme,9357,Non,Sénégal,Ville
26,Femme,3502,Non,Arabie Saoudite,Nature
52,Homme,1948,Non,Russie,Nature
18,Homme,1617,Non,Autriche,Nature
39,Femme,2765,Oui,Qatar,Nature
63,Homme,10031,Non,Suisse,Ville
21,Femme,1854,Non,Finlande,Nature
57,Homme,1778,Non,Thaïlande,Nature
32,Femme,11898,Oui,Malaysia,Ville
35,Homme,6039,Oui,Jordanie,Ville
49,Homme,8815,Oui,Egypte,Ville
71,Femme,4764,Oui,Russie,Ville
34,Homme,1965,Non,Qatar,Nature
26,Femme,3833,Non,Pakistan,Nature
35,Homme,7855,Non,Iran,Ville
49,Homme,2453,Non,Danemark,Nature
47,Homme,10027,Oui,Tunisie,Ville
37,Homme,4098,Non,Indonésie,Nature
23,Homme,2990,Non,Sénégal,Nature
32,Homme,1518,Non,Corée du Sud,Nature
29,Homme,2945,Non,Malaysia,Nature
43,Homme,1422,Non,Pérou,Nature
28,Femme,2956,Non,Suède,Nature
18,Homme,1550,Non,Sénégal,Nature
40,Homme,3014,Non,Mexique,Nature
47,Femme,10981,Oui,Mexique,Ville
26,Homme,7578,Oui,Chine,Ville
45,Homme,2392,Non,Russie,Nature
39,Femme,1974,Non,Norvège,Nature
59,Homme,1439,Oui,Nigeria,Nature
36,Femme,2745,Non,Australie,Nature
50,Homme,2092,Non,Malaysia,Nature
71,Homme,12062,Oui,Italie,Ville
53,Femme,7086,Oui,Algérie,Ville
35,Femme,8214,Oui,Finlande,Ville
43,Homme,3040,Oui,Koweït,Nature
45,Femme,13508,Oui,Côte d Ivoire,Ville
25,Femme,9920,Non,Japon,Ville
60,Homme,8582,Oui,Brésil,Ville
56,Homme,3897,Non,Italie,Nature
58,Femme,12272,Non,Suède,Ville
30,Femme,11591,Oui,Mexique,Ville
35,Femme,9164,Oui,Mexique,Ville
23,Femme,13012,Oui,Grèce,Ville
47,Femme,2751,Non,USA,Nature
47,Homme,3969,Non,Inde,Nature
44,Homme,1064,Oui,Inde,Nature
21,Femme,2852,Non,Egypte,Nature
40,Femme,2086,Non,Liban,Nature
55,Homme,1584,Non,Qatar,Nature
35,Homme,9589,Oui,Norvège,Ville
24,Homme,3369,Non,Egypte,Nature
55,Homme,3754,Non,Qatar,Nature
45,Femme,9921,Oui,Koweït,Ville
72,Femme,11650,Non,Egypte,Ville
41,Femme,3784,Oui,Finlande,Nature
20,Homme,3615,Non,Portugal,Nature
